user,review,rating,app,word_count,is_spam_candidate,label,,,
Minh Hải Nguyễn,cái dit cứ tải dùng là y như rằng quảng cáo từa lưa ko hứng thú đã tắt thông thì khi vào lại cứ bắt bật thông báo để nhận thông báo về đơn hàng nó chứ voucher card dell j giảm 80k cho đơn hàng đầu tiên dùng thì cứ tới bước thanh toán là y như rằng xác minh robot xong tới xác minh sđt cái dit ko cho phúc lợi thì thôi chứ du móa cho r tới bước cuối thanh toán xác minh tất thì vừa xác minh sđt thì mọe cái đơn hàng vs cái voucher bốc hơi vào thì xem voucher đã dùng mà đơn hàng ko có trg lịch sử mua,1,Shopee,118,TRUE,negative,,,
Huy Trần,"ủa có làm gì đâu mà tài khoản có dấu hiệu bất thường , đùa nhau à ??????? cho 1 sao",1,Shopee,21,TRUE,negative,,,
Dạo Phố,"____một trãi nghiệm tồi tệ_____ - đặt hàng xong thanh toán zalo, momo,...shop nó không có hàng nó treo đơn 1 tháng cũng không cho hủy luôn, tiền cũng dính đó luôn. vừa đặt tí xíu xác nhận thì cũng không hủy được. - thanh toán trước mà hủy hoặc shop nó treo cả tháng bị hủy ên cũng không hoàn tiền ngay về zalo momo luôn, đợi cả tuần hơn nữa. tóm lại phương thức thanh toán cố ý giữ tiền người mua. học shopee đi kìa",1,Sendo,88,TRUE,negative,,,
Điền Phúc,"bị gì không xác thực số điện thoại được,lỗi tùm lum,đã điện chăm sóc khách hàng cũng không hỗ trợ được",1,Shopee,21,TRUE,negative,,,
Hiệp Nguyễn,mua hàng xong cũng đ' thấy support nhắn tin lại luôn,1,Lazada,11,TRUE,negative,,,
Nhi Nhi,"tôi đặt hàng về tủ nhận hàng hàng đã đến trạm đc 1 ngày nhưng không giao không liên hệ không gửi vào tủ cũng không liên hệ và tự ý báo hủy hàng do giao không thành công rồi hoàn tiền, nhân viên chăm sóc khách hàng tên trường không tận tình chỉ xin lỗi qua loa. đây không phải lần đầu bị hủy vô cớ và cũng bảo xử lí với bưu cục kết quả như thế nầy",1,Shopee,80,TRUE,negative,,,
Hoàng Anh,"ship đắt, hàng dỏm nhiều, giao diện k đẹp mắt, mã giảm giá ít, mã freeship k còn như trước nên ship vẫn đắt, thay vì bỏ tiền chạy quảng cáo hãy quan tâm đến lợi ích khách hàng nhiều hơn😭😭",1,Lazada,41,TRUE,negative,,,
Thị Ngọc Diệp Uông,👍👍👍,1,Tiki,1,TRUE,other,,,
Hưng Phúc,có thể tạo nhiều acc trong 1 số điện thoại đc z,1,Lazada,12,TRUE,neutral,,,
Thai quang Dinh,dẹp bỏ mẹ đi một số điện thoại không cho đăng nhập các tài khoản tiếp tục mua sắm mà phải bắt lấy số điện thoại khác kiêu đăng nhập mới tiếp tục mua sắm. dẹp bỏ mẹ đi,1,Tiki,39,TRUE,negative,,,
Tuấn Huy,app riết tệ hơn chữ tệ.đặt mua hàng shop giam đơn k hủy cũng k giao.tính liên hệ lzd nhờ hối thúc mà toàn gặp chat tự động. k thể liên hệ tổng đài viên. đơn thì thanh toán r mà ngâm gần 1 tháng trời.lzd k có chính sách hối thúc các shop làm ăn z thì ng mua bye bye app hết,1,Lazada,64,TRUE,negative,,,
Thị Hồng Đoàn,"acc mới hoàn toàn (sđt cũng mới ) mà k đặt được hàng , toàn hiện m02. làm ơn khoá mấy shop làm ăn vô lương tâm đi , khi hủy nhiều đơn do shop không cbi được hàng thì khoá luôn shop đó giúp cái",1,Shopee,46,TRUE,negative,,,
Joe Nguyen,"đăng 1 đàng bán 1 nẻo, không kiểm soát nổi người bán thì ...... ai mà dám mua",1,Tiki,18,TRUE,negative,,,
Thuỵ Hoàng Thảo Nguyễn,"lazada khó không đúng cách, shop pee chỉ cần đăng ký bằng gmail là vô mua sắm, mới tải lazada thử đăng ký khó khăn rõ ràng nhập sđt và gửi mã qua sđt và nhập vào rồi vậy mà để khóa tài khoản trong khi chưa có tài khoản gọi lên tổng đài báo rồi vẫn không biết xử lý luôn, hèn gì ra đường không thấy lazada toàn thấy shop pee, nên xem xét lại coi khó khăn không đúng cách",1,Lazada,83,TRUE,negative,,,
Lê Nguyễn Thiên Mẫn,làm ăn sống nhăn mới vua2f đặt ko cho hủy mình lộn sđt nên định hủy kiếm lòi con mắt ko ra chỗ hủy,1,Tiki,24,TRUE,negative,,,
Phạm Lâm,"đánh giá 0 sao, hủy đơn hàng của khách 0 báo lý do, 0 hoàn lại đầy đủ mã giảm giá cho khách, 0 phản hồi lại các khiếu nại cho khách hàng",1,Tiki,33,TRUE,negative,,,
Nghi Nguyễn,tải về sài thử mà mua cái gì cũng giá trên trời chả có mã giảm giá hay j cả điểm danh thì không được nói thật ko bằng 1 góc của shope,1,Lazada,33,TRUE,,,,
trần hoàng,đặt hàng rất mất thời gian. đặt hàng xong theo dõi đơn hàng và không hề thấy ai liên hệ giao hàng nhưng trạng thái luôn cập nhật giao hàng không thành công. sau 1 tuần đợi giao hàng và không giao tiếp tục đợi hàng hoàn về kho sau đó phải đợi 5-7 ngày để hoàn tiền lại. không bao giờ đặt hàng bên tiki nữa.,1,Tiki,67,TRUE,,,,
Hiển Lê,giao quá ngày gần 2tuần mà ko í ới j hàng chất lượng kém treo đầu dê bán thịt chó đó là những gian hàng ko nên có mong tiki dẹp ik hộ cho người mua uy tín tí chứ lm ăn kiểu này sẽ giảm sút tăng thu muốn liên hệ tư vấn phức tạp mn nên chuyển sang app khác lời khuyên chân thành từ mk đã gặp vấn đề 2 lần vs đơn hàng rồi 1lần thì thôi bỏ đc còn lần thứ 2 tao xóa lun,1,Tiki,90,TRUE,,,,
Mỹ Nguyễn,mới đầu mình dùng lazada thấy rất ok về sau bây giờ rất chán vì ship thì tăng mã giảm giá thì lung tung và cảm giác lazada giờ k bằng 1phần của shop bi nữa.mình từng là 1 ng sửa dụng lazada rất nhiều và 98% là đặt qua lazada giờ mình k sdung nữa vì ứng dụng ngày càng đi xuống.mình mong lazada có thể khắc phục,1,Lazada,69,TRUE,,,,
Hưng Phúc,1 số điện thoại không dùng cho 2 tài khoản đc,1,Tiki,11,TRUE,,,,
Dạo Buôn,chắc xóa thôi nhân viên giao hàng k gọi đã hủy đơn zuiiiiii,1,Shopee,13,TRUE,,,,
Mad Cuong,"mua hàng cho thanh toán bằng zalopay thì hoàn tiền về lại zalopay cho người ta , sao lại giam tiền về senpay gì kỳ vậy .",1,Sendo,27,TRUE,,,,
Văn Thiệp Huỳnh,"mua đồ không cho kiểm hàng. nhắn tin shop thì không thấy trả lời. tìm đến với nhân viên thì lại cho nói chuyện với rô bốt. tao nói thiệt dù tụi bây ra khuyến mãi số đỏ số gì đi nữa để tìm kiếm khách thì sai lầm. tao thích lazada hơn, nó không rầm rồ khuyến mãi, nhưng nó làm ăn rất khoa học và hợp lý, đơn hàng xử lý nhanh và nhân viên nhanh chóng có mặt xử lý. hành trình đơn hàng dễ kiểm tra. chat với nhân viên kịp thời. dùng hàng ngoại sang hơn nội địa",1,Sendo,103,TRUE,,,,
SupS,"nạp tiền vào ví farm vào ngân hàng không được, tài khoản ngân hàng trừ tiền mà trong ví không cộng thêm, giao thiếu sản phẩm cũng chỉ được nhân viên thông báo là sẽ hoàn tiền và nhiều ngày sau cũng chẳng thấy tiền đâu, nhắn tin qua kênh chat hỗ trợ trong app mà cảm giác như nói chuyện một mình, chỉ suốt ngày spam tin nhắn quảng cáo sản phẩm, trải nghiệm tệ hại từ vị trí của khách hàng",1,Sendo,83,TRUE,,,,
Nam Hữu,người mới méo có mã giảm giá lừa thật,1,Lazada,9,TRUE,,,,
Ngọc Khánh,"app thì đơ. bấm nát màn hình mới vô, tìm đồ mua mà muốn lên máu luôn, mã giảm giá thì khó xài. vui cho áp mã buồn nghĩ mua.",1,Lazada,30,TRUE,,,,
Nhật Hoàng,"tôi không thể thanh toán với mã giảm giá nhiều lần, mặc dù tôi chưa mua gì trước đó.",1,Lazada,19,TRUE,,,,
Trí thức Lê,bán hàng không đúng như quảng cáo đâu hàng lỗi quá nhiều các bạn áp dụng mã giảm giá chắc chắn là 100% là hàng lỗi,1,Tiki,26,TRUE,,,,
Zlatan Ibrahimovic,"ứng dụng bị cái j vậy trời 3 lần đặt hàng thì cả 3 lần không giao , có phải đơn 1-2k đâu mấy trăm nghìn mà qua ngày giao hàng rồi vẫn không cập nhật xong hủy đơn luôn ????????",1,Lazada,41,TRUE,,,,
Tuấn Nguyễn Quốc,nhập sđt mà ko gửi qua thư,1,Tiki,7,TRUE,,,,
Ngọc Trương,"sao k xác minh sđt được vậy, cứ đã đki r là sao, còn k lấy lại đc nữa, tại sao tại sao, k muốn cho t dùng àaaaaaaa",1,Shopee,29,TRUE,,,,
Nlinh Pham,"shoppe bị j v?? sđt mới toanh lại kêu vi phạm cái điều khoản gì đấy???? ơ đã làm gì đâu, đã mua đc cái gì đâu.",1,Shopee,27,TRUE,,,,
Phương Mai,"đơn mất nửa tháng để lấy hàng, mình có liên hệ hỗ trợ xin hủy đơn nếu quá lâu vì đơn còn chưa lấy hàng, mình lại còn cần hàng gấp cho công việc. 2 ngày mới đc rep. mình đọc mail tiki giải thích, lần nữa xin phép hủy đơn trong mail, lúc này đơn vẫn chưa lấy hàng thành công. sau đó tiki nói cần xác nhận đơn thì đơn bất ngờ chuyển sang đã lấy hàng? có nghĩa là bây giờ mình phải đợi đơn về, không nhận đơn, đợi đơn hoàn về mới nhận lại đc tiền đã thanh toán? đợi đc thì mình đã không xin hủy r :)",1,Tiki,114,TRUE,,,,
Nguyễn Quang Tuấn,tiền ship quá cao. mã giảm giá thì không dùng được. cần học hỏi bên shopee nhiều,1,Lazada,17,TRUE,,,,
Tuấn Trung,app tệ vl tặng xu tặng mã giảm giá rồi đến khi áp vào thì báo lỗi hoạt động bất thường.,1,Lazada,21,TRUE,,,,
Hen Duong,"đã đặt rất nhìu đơn, còn được sendo tặng quà vì số lượng đơn đặt hàng cao. giờ đặt thì khóa trả tiền sau khi nhận hàng.bắt khách hàng phải trả qua zalopay...k hài lòng chút nào.gìờ tui phải qua shoppee đặt.sendo đối sử với khách hàng thân thiết vậy đó hả???",1,Sendo,52,TRUE,,,,
34_ Võ Quốc Tín,tự ý liệt kê tôi vào danh sách cr01 dù không lạm dụng mã giảm giá hay gian lận gì. lazada làm ăn quá kém,1,Lazada,25,TRUE,,,,
Hào Huỳnh,buôn bán shop giao nhâm hàng mấy lần ib lazada ko hỗ trợ ... quá tệ hơn chữ tệ,1,Lazada,19,TRUE,,,,
Minh Ngọc Đào,"toàn giao hàng không đúng hẹn, cập nhật trạng thái hàng kém, gần như ít cập nhật, khách chưa thấy ai gọi ship mà đã xác nhận giao hàng không thành công????????",1,Tiki,32,TRUE,,,,
Yên Liễu như,"cho mã giảm giá mà ko cho người ta sài, t đặc lần đầu nó cho mã giảm giá 60k mà đặc thì mấy chủ có hành vi bắt thường bắt thường chỗ nào chỉ tao xem. ghi số đt ra đc các thứ rất bình thường mà nhấn đặc thì bị nói là vi phạm và hành động bắt thường,ko hiểu nổi .với lại mở quà nhận su tao mở 3.4 lần ko ra được một su. còn su t nhận hằn ngày mấy trăm su chưa kịp sử dụng thì nó cho bây màu mấy trăm su của t. thật sự rất khó chịu với việc xem video lấy su coi cả tiếng mà lúc có lúc ko. rất khó chịu á",1,Shopee,124,TRUE,,,,
Liêm Thanh,đã đăng nhập bằng google rồi mà kêu xác minh sđt mua sắm thôi mà khó khăn 😤😤 shop đổl lại như trước là tốt nhất,1,Lazada,26,TRUE,,,,
Phan Vũ,"phương thức thanh toán cồng kềnh, bắt nhập số điện thoại mới cho thực hiện thanh toán, xong mình nhập số vào thì bảo số này dùng trong tài khoản khác không lấy lại được luôn(mất tgian, mất lợi ích) xong mình dùng sdt đấy đi đăng nhập để xoá chuyển qua tài khoản mới thì không cho đăng nhập không có quên mật khẩu mà thay vào đó là hiển thị cái email bị che, coi như bây giờ mình mất sdt thoại đấy, và không có cách gì mua hàng, hệ thống cồng kềnh quá phức tạp cho ng dùng",1,Shopee,102,TRUE,,,,
Khang Nguyễn,đặt đơn hàng áp mã giảm giá mà ko cho,1,Shopee,10,TRUE,,,,
Nguyễn Hiếu,"đặt hàng thì hiển thị hàng đã đến khu vực của bạn sẽ giao trong 12h trong khi hôm nay là 2 ngày gần 3 ngày rồi mà chưa giao, nhắn tin với gọi hỗ trợ thì không được làm qua loa cho có",1,Shopee,44,TRUE,,,,
Chun Official,"đặt đồ ăn lỗi app tính cho khách 2 đơn, liên hệ tổng đài hay quán cx ko ai hỗ trợ , làm ăn tệ",1,Shopee,25,TRUE,,,,
Vu,"khả năng quản lý đơn hàng kém. kết hợp với j&t làm đơn vị vận chuyển cực kì vô trách nhiệm. shipper đùn đẩy việc giao không kịp cho khách thành khách yêu cầu chuyển ngày nhận hàng. liên hệ chăm sóc khách hàng lazada hỗ trợ thì nhận được ai trả lời toàn thông tin không liên quan, đến nhân viên chăm sóc khách hàng lại hẹn chờ 48 giờ làm việc (6 ngày - không kể thứ 7, cn, lễ) để phản hồi trạng thái cho một đơn hàng nội tỉnh. chán hết sức. tệ",1,Lazada,97,TRUE,,,,
Trúc Giang,ghim hàng của người ta cả tuần không chịu giao. mà thấy kích sale quài. kích sale mà sao không giao hàng????????,1,Tiki,22,TRUE,,,,
loan nguyen,giao hàng thiếu mà nhắn tin thì không trả lời,1,Tiki,10,TRUE,,,,
Vinh Nguyễn,đặt 1 thùng mỳ hẹn ngày giao 11/8 bây giờ hết ngày mà giờ ko thấy đâu là sao ad..trong khi đơn thanh toán qua zalo pay rồi. app lừa đảo à,1,Tiki,32,TRUE,,,,
Võ Lê Đức Huy,"ship tự động hủy đơn hàng của tôi, liên hệ laz thì không giải quyết, nói rằng ship đã gọi và đã tới nhà tôi, tôi hỏi tới thời gian nào thì không trả lời, thật sự thất vọng, tôi tưởng chỉ ship không trung thực nhưng tôi đã lầm, cả công ty không trung thực, bao che cho sự dối trá. tôi đã xóa app laz",1,Lazada,67,TRUE,,,,
Huyền Đoàn Thị Thu,"thông tin tk không đổi được sđt và email, mong tiki sẽ khắc phục ạ",1,Tiki,15,TRUE,,,,
Tuấn Anh Trần Hồ,"mặc dù mình chẳng làm gì sai, chả gian lận gì cả nhưng vẫn bị dính cr01 từ đợt sale 11/11 đến nay không hết. đã liên hệ lên chăm sóc khách hàng nhiều lần nhưng không được gỡ cr01. tài khoản của tôi đã tích góp được 1,5 triệu xu và vì dính cr01 nên đã làm tôi bỏ lỡ ngày sale 12/12 vừa rồi. tôi rất bức xúc vì điều này. nếu sàn này không muốn cho khách mua hàng nữa thì tôi cũng còn đầy lựa chọn khác",1,Lazada,91,TRUE,,,,
Thái Sơn Nguyễn,bên tiki áp mã giảm giá. rất khó hiểu. mong sao làm như bên. lazada. và shoppe. hoặc sendo. mình mua hàng rất nhiều. nhưng bên tiki. rất khó lấy mã. nếu lấy được. cũng khó sử dụng. nhiều mặt hàng. mình muốn mua. nhưng ko áp mã được. rất là rườm rà,1,Tiki,53,TRUE,,,,
Phước Lê,đặt hàng giao hàng sai rồi bảo giao lại đổi mới cho mình. mà cuối cùng bảo hết sản phẩm dòi không giao được. mình nhắn tin hỏi nhà cung cấp thì bảo còn rất nhiều sản phẩm. hóa ra tiki lừa đảo cmnr 🙂🙂🙂,1,Tiki,45,TRUE,,,,
Phần Huỳnh,không thể hiểu nổi đặt hàng 15 ngày không thấy đâu nhắn tin hỏi shop kêu đã gửi hàng rồi và nhìn trên theo giỏi đơn hàng thì đơn vị vẩn chuyển lấy hàng hơn 10 ngày và mình nhắn tin hỗ trợ sendo để hỏi về hàng thì lại bảo đơn vị vận chuyển chưa lấy được hàng ? trong khi đó đặt hàng giao nhanh phí cao cắt cổ mà làm ăn kiểu này thì dẹp mẹ cho rầu .,1,Sendo,82,TRUE,,,,
Trinh Nguyễn,app ko cập nhật tình trạng trả hàng - hoàn tiền hoàn tiền 1-3 tuần mới có shop giao sai hàng nhưng tiki vẫn trừ mã giảm giá tệ tệ tệ tệ cực kỳ tệ,1,Tiki,35,TRUE,,,,
Dat Thanh,-z'',1,Sendo,1,TRUE,,,,
Trang Trang,sđt mới mà khong đặt đc😡,1,Shopee,6,TRUE,,,,
Ha Hohoang,tui mua cái sổ hành tinh xanh mà nó đưa cuốn sổ khác 🤬🤬🤬🤬🤬🤬,1,Tiki,14,TRUE,,,,
Tân Phan,"làm ăn bát nháo,đơn đặt ngày 16/6 đến hôm nay 25/6 chưa gửi đi.nhắn tin hỏi thì đọc không trả lời,không giao thì hủy người ta còn biết đặt chỗ khác.ứng dụng xứng đáng xuống sao",1,Lazada,36,TRUE,,,,
Nin Ttrần,"đơn hàng vì thiếu nhân sự nên bị trễ đến ngày thứ 5 thấy để giao hàng không thành công vì không liên hệ được với khách hàng (có 4cuộc gọi nhỡ, sau 10p mình có nhá máy lại. vì lúc shiped gọi điện thoại mình đag ở tiệm sửa) nghĩ sao gọi lại trễ 10p ship nghỉ giao luôn-)) ừ thì đơn đầu ấn tượng đầu mua 1 lần rồi thoi:))",1,Tiki,72,TRUE,,,,
Dung Thanh,đồ mắc phí vận chuyển cao ko mã giảm giá freeship,1,Lazada,11,TRUE,,,,
Thị Kha Nguyễn,ứng dụng khốn nạn mã giảm giá người ta chưa sài nói đã sài rồi không cho sài nữa làm ăn chẳng ra gì,1,Sendo,24,TRUE,,,,
tài liệu ctump Lưu trữ,"đã đặt 1 đơn hàng khoảng 20 ngày. nhà bán hàng không giao hàng, yêu cầu hủy đơn lại bị từ chối bởi chính lazada, tiền thì đã chuyển, liên hệ cskh yêu cầu hủy đơn thì lại hẹn lần hẹn lựa ""tối đa 48h làm việc"", chờ tới bây giờ tiền vẫn không về túi hàng vẫn không tới tay. liên hệ thì lại.... đợi tiếp, đã đợi không biết bao nhiêu cái ""tối đa 48h làm việc"" ☺️☺️",1,Lazada,80,TRUE,,,,
Lệ Năm,tệ=)),1,Lazada,1,TRUE,,,,
nito,phiền!!!,1,Shopee,1,TRUE,,,,
Tuân Trần,"không hiện mã giảm giá, vào chat không thể gặp được nhân viên hỗ trợ",1,Lazada,15,TRUE,,,,
Thuy Rơ ô,khó hiểu!,1,Lazada,2,TRUE,,,,
kavinl Trần,dịch vụ chăm sóc khách hàng tệ.........,1,Tiki,7,TRUE,,,,
Mỹ Duyên Lâm,"shipper không giao hàng mà lại tự ý bấm giao hàng không nhận.liên hệ với hệ thống thì cho gặp al, vẫn không có một nhân viên giải quyết. shipper đã có thái độ không ổn mà kêu liên hệ với nó chắc nó giải quyết hả. lỗi sai mà không có lấy một nhân viên giải quyết lỗi của shipper. làm ăn sống nhăn vậy ai dám đặt hàng trên app này nữa. bye luôn không bao giờ sử dụng app này một lần nào nữa.",1,Lazada,87,TRUE,,,,
Phuc Nguyen,"lazada à,năm 2024 bn luôn tuyệt vời đối với tôi nhưng,sang năm 2025 thì tôi ko còn thích bn nữa 😔 trong khi đó bn lại giao hàng chậm gần đến ngày nhận bn lại tăng ngày giao?cả tôi và mẹ tôi ko đặt dc!trong khi đó tôi đã đặt đồ qua máy mẹ tôi bn còn giao chậm hơn cả shoppe, đó.....tôi.....rất.....thất.......... vọng về bn lazada😔😔😔☹☹☹",1,Lazada,67,TRUE,,,,
nguyễn cảnh,mình là fan của lazada nhưng hôm 8/10 mình có đặc 1 máy bơm mini để hồ cá đến 12/10 thì lazada gửi tb là hàng bạn đang được giao đên bên vận chuyển nhưng ko thấy đâu xông 13/10 lại tb là ko liên hệ đc bên đặc hàng mình mới gọi điện cho ng giao hàng trên tb của app nhưng ko ai bất máy mình mới nt cho shop shop trả lời là đã giao bên vc nên ko liên quan gì nữa mình 🌶 quá nên bảo shop tự lo hàng của shop mình ko lấy nữa nhưng bên lzd lại tb là hàng đên ko liên hệ đc ng nhận nữa 🌶,1,Lazada,117,TRUE,,,,
Minh Dang Hong,"đơn đặt hàng lần 1 bị treo 1 tháng, bị hủy không giải thích. chờ mãi thì được cho cái mã giảm giá. dùng mã giảm giá để mua món khác chấp nhận thêm tiền, lại chờ mệt mỏi thì bị báo hủy tiếp, lần này mất luôn mã giảm giá, không một lời giải thích. lazada định lừa khách hàng à, vote 1 sao.",1,Lazada,65,TRUE,,,,
Trường,app có hiện thời gian giao hàng nhưng lúc nào hàng giao đến cũng muộn hơn rất nhiều so với dự kiến. điện tổng đài hỗ trợ thì không được. khuyên mọi người mua sách thì có thể qua shopee hoặc lazada cũng có. ít nhất bên đó người ta có thể liên hệ với tổng đài để hỗ trợ,1,Tiki,60,TRUE,,,,
Giang Hương,chưa hết hạn mã giảm giá mà sao đã bảo hết hạn rồi 😭,1,Shopee,14,TRUE,,,,
Đang Minh,shopee làm ăn j kì vậy đặt hàng sđt qua zalo song hết bị mo2 cái cần đặt món khác cái sđt k gửi qua zalo đc sohpee như lol,1,Shopee,30,TRUE,,,,
Hải Nguyễn,sendo lừa đảo. mình thanh toán bằng zalopay mất tiền rồi. shop đóng hàng chuẩn bị gửi đi rồi mac. sendo ko đến lấy hàng. vào đơn hàng thì ko có chỗ hủy hàng để hoàm tiền. quá thất vọng về sendo,1,Sendo,42,TRUE,,,,
Tạ Xuân Hiếu,"đặt được thanh toán trước mà hủy đơn không cho. liên hệ không giải quyết, ba cái tin nhắn tự động tào lao. đề nghị phế app đi.",1,Tiki,28,TRUE,,,,
Ngọc Trần,"tôi là nạn nhân, kiểu sale 2/2 (kiểu kích cầu giả tạo). tôi mua 2 đơn hàng, chờ hoài vì vận chuyển bị trễ, đến khi có người gọi điện, đúng lúc tôi vắng nhà, họ hằng học và tự nói hủy đơn, cũng không cho tôi hẹn lại thời gian, cũng không một lời hẹn lại thời gian giao hàng. tôi có liên hệ với tổng đàu shopee và nhắn tin cho người bán, thế nhưng vẫn không giải quyết. tôi nói điều này để khẳng định, tôi cần đơn hàng và tôi là người dùng thật.",1,Shopee,98,TRUE,,,,
Tâm Dương,máy mới sđt ch từng sd lazada mà ko nhận đc xu bảo hoạt động bất thường chịu luôn đấy,1,Lazada,20,TRUE,,,,
Khang Ngọc,tiền ship quá đắt có mã giảm giá nhưng không dùng được,1,Lazada,12,TRUE,,,,
WALDO Gaming TV,bài viết như cá............ nhưng thật ra nó là cặc nhưng tao viết sai,1,Sendo,14,TRUE,,,,
Nhàn Trần,"mã giảm giá 30k momo cho khách hàng mới,hôm qua t định mua nhg quên chưa nạp tiền momo,đến hôm nay vô để mua thì mã này lại k cho sử dụng trong khi hàng hóa k khác j hôm qua",1,Tiki,41,TRUE,,,,
Hồng Kim,"đcm bỏ app có 1 năm mà đi khóa tk ngt ,bộ app tụi m có giá lắm hả. tao tải lại xài mà khóa này nọ ,đăng nhập zalo ,gg ,fb cũng deo cho. app làm ăn z nghỉ mẹ tụi m đi ,tao thà xài shoppe ngon hơn ,tụi m ôm khư khư app tụi m mà sống đi ,đồ thứ âm binh",1,Lazada,65,TRUE,,,,
Minh Khang NGUYỄN,cập nhật số điện thoại ko cho,1,Shopee,7,TRUE,,,,
Do Minh Duc,mỗi việc không nhập cccd vô xong khoá tài khoản???????,1,Shopee,10,TRUE,,,,
Hai Pham,hoàn hàng lại bằng phương thức hoàn tiền đợi hai tuần vào lại xem trả bằng mã giảm giá trong khi đó cgonj hoàn tiền làm ăn gian trá như cc mọi người ko nên mua hàng trên đây,1,Lazada,39,TRUE,,,,
Sanh Ka,tôi đặt bộ quần áo nam mà gửi cho tôi bộ quần áo trẻ em nữ cccccccc,1,Lazada,17,TRUE,,,,
Minh Kính Bùi Phạm,"thật sự mà nói, lazada không tốt bằng shopee. vì sao tôi nói như vậy , vì khi vào shopee bạn sẽ được nhận voucher người mới giảm cực kỳ sâu, còn có thể kiếm su để mua đồ và bạn sẽ được giảm một nửa số tiền, chơi trò chơi vào top sẽ được nhiều phần thưởng, săn nhiều voucher ,mã giảm giá xịn. còn lazada, voucher người mới giảm ít,su thì kiếm phà phà mà khi mua hàng chỉ cho sài có 1 nghìn mấy, voucher thì phải mua vài trăm mới được giảm vài chục. còn không phục vụ tận tâm khi khách hàng gặp vấn đề",1,Lazada,110,TRUE,,,,
Quang Thu Trương,"không hề nhận được cuộc gọi giao hàng từ shipper mà trên đơn hàng bảo là không liên hệ được với khách hàng, khách hàng hẹn lại,... các kiểu con đà điểu. trong khi số điện thoại hoàn toàn đúng và tổng đài còn gọi lại bảo là đơn giao không thành công và có muốn nhận đơn nữa không cơ đấy. lazada lừa đảo à",1,Lazada,66,TRUE,,,,
Quỳnh Trang Ashley,"đơn hàng của em 1 tháng rồi chưa thấy đâu, nhắn tin hỏi tiki thì toàn tin nhắn tự động, muốn gặp bên nhân viên sao khó quá ạ",1,Tiki,29,TRUE,,,,
LÊ SEE,"chăm sóc khách hàng tồi tệ đến mức liên hệ bên cskh 10 lần vẫn không giải quyết hẹn lên hẹn xuống, app tiki thì lỗi nghiêm trọng. nói chung là trải nghiệm tồi tệ. mình khuyên mọi người không nên mua hàng trên tiki vì nó rất là tồi tệ chán nản và mệt mỏi",1,Tiki,56,TRUE,,,,
Hồng Khương Lê,cấp nhật số điện thoại bưu tá không liên hệ được,1,Lazada,11,TRUE,,,,
Kien Huynh Gia,"tự nhiên bị cr01 không cho dùng voucher, liên hệ cskh thì kêu không giải quyết được. quá tệ",1,Lazada,19,TRUE,,,,
