user,review,rating,app,word_count,label,review_original
Hoa Lương Thị Mỹ,"tao rồi ả i n g h i ệ mình rồi ấ tao tao ệ mình ì n h l à h ọ c giây i n h n ê n mình ì n h đ ặ tao giây á c h tao rồi ê n giây h o p p e e , g i a o tao h ì l â u mình à l ú c g i a o tao h ì x u i c á i mình ì n h đ a n g không i ể mình tao rồi a tao rồi ê n tao rồi ư ờ n g n ê n b u ộ c p h ả i tao ắ tao , vậy ậ y mình à giây h i p p e rồi h ủ y đ ơ n c ủ a mình ì n h l u ô n ạ , mình à b ạ n đ ó mình ớ i g ọ i mình ì n h c ó mình ộ tao l ầ n tao h ô i á , c h ấ p n h ậ n l à l ỗ i c ủ a mình ì n h mình ộ tao p h ầ n n h ư n g h à n g n g ư ờ i không h á c q u a n tao rồi ọ n g h à n g mình ì n h không h ô n g q u a n tao rồi ọ n g h ả ? ? ? c h ẳ n g h ạ n n h ư tao i không tao o không giây h o p , không h ô n g n h ậ n mình ộ tao l ầ n tao h ì n g tao a c ò n g i a o l ạ i c h o n g à y mình a i , h o ặ c n h ắ n c h o mình ì n h mình à b ê n giây h o p p e e không h ô n g h ề l u ô n .",1.0,Shopee,100,negative,"trải nghiệm rất tệ mình là học sinh nên mình đặt sách trên shoppee, giao thì lâu mà lúc giao thì xui cái mình đang kiểm tra trên trường nên buộc phải tắt, vậy mà shipper hủy đơn của mình luôn ạ, mà bạn đó mới gọi mình có một lần thôi á, chấp nhận là lỗi của mình một phần nhưng hàng người khác quan trọng hàng mình không quan trọng hả??? chẳng hạn như tiktok shop, không nhận một lần thì ngta còn giao lại cho ngày mai, hoặc nhắn cho mình mà bên shoppee không hề luôn."
Su Tran van,"không h ô n g c ó 1 c u ộ c g ọ i n à o mình à đ ã tao ự đ ộ n g h ủ y đ ơ n h à n g , c h á n",1.0,Shopee,13,negative,"không có 1 cuộc gọi nào mà đã tự động hủy đơn hàng,chán"
An Do,"đ a d ạ n g vậy à đ ầ y đ ủ mình ặ tao h à n g , mình u a giây ắ mình tao rồi ê n giây h o p p e vậy ớ i g i á rồi ẻ h ơ n vậy ớ i vậy o u c h e rồi",5.0,Shopee,17,positive,"đa dạng và đầy đủ mặt hàng, mua sắm trên shoppe với giá rẻ hơn với voucher"
Thị Chuyên Đinh,mình u a h à n g giây o p e u y tao í n n h a n h đ ổ i tao rồi ả d ễ d à n g n h a n h g ọ n . mình ì n h l u ô n ủ n g h ộ giây o p e,5.0,Shopee,18,positive,mua hàng sope uy tín nhanh đổi trả dễ dàng nhanh gọn . mình luôn ủng hộ sope
thanh nguyen,"giây h o p e e l ú c g ầ n đ â y q u á l ạ mình d ụ n g a i đ ể tao ạ o vậy i d e o g i ớ i tao h i ệ u giây ả n p h ẩ mình , n h ư n g c á c c l i p n à y p h ầ n l ớ n tao ạ o rồi a n h ữ n g giây ả n p h ẩ mình d ị d ạ n g , h o à n tao o à n không h á c b i ệ tao tao h ự c tao ế , vậy à a p p c ứ tao ự đ ộ n g b ậ tao c á c vậy i d e o không h i vậy à o x e mình giây ả n p h ẩ mình l à mình n g ư ờ i mình u a rồi ấ tao không h ó c h ị u",2.0,Shopee,53,negative,"shopee lúc gần đây quá lạm dụng ai để tạo video giới thiệu sản phẩm, nhưng các clip này phần lớn tạo ra những sản phẩm dị dạng, hoàn toàn khác biệt thực tế, và app cứ tự động bật các video khi vào xem sản phẩm làm người mua rất khó chịu"
Anh Tran,"g i a o h à n g mình u ộ n , rồi á c h , n é mình h à n g vậy à o n h à n h ư n é mình b o mình , l ú c c ầ n tao h ì g ọ i mình ò n mình ỏ i , g ọ i c ả tao ổ n g đ à i g i a o h à n g n h ư n g vậy ẫ n không n h ậ n đ ư ợ c h à n g , l ú c không c ầ n n ữ a q u á h ạ n tao g i a n , không c a n d ù n g n ữ a tao h ì n é mình vậy à o n h ư tao h ậ tao . c h ị u l u ô n , đ a n g đ ị n h x ó a a p p vậy ì đ ã không g i ả i q u y ế tao đ ư ợ c vậy i ệ c c ò n tao ạ o vậy i ệ c c h o n g ư ờ i giây ử d ụ n g .",1.0,Shopee,64,negative,"giao hàng muộn, rách, ném hàng vào nhà như ném bom, lúc cần thì gọi mòn mỏi, gọi cả tổng đài giao hàng nhưng vẫn k nhận được hàng, lúc k cần nữa (quá hạn tgian, kcan dùng nữa) thì ném vào như thật. chịu luôn, đang định xóa app vì đã k giải quyết được việc còn tạo việc cho người sử dụng."
My Nguyễn,"đ á n h g i á tao ố tao tao h ì p h ả n h ồ i n h a n h l ắ mình , mình ấ y đ á n h g i á không h á c không b i ế tao tao rồi ả l ờ i đ c mình ấ y c á i n ữ a , a p p c à n g n g à y c à n g tao ệ . g i a o h à n g c ự c không ì l â u , h à n g c ó giây ẵ n mình à đ ơ n vậy ị vậy ậ n c h u y ể n n ử a tao h á n g rồi ồ i c h ư a g i a o , tao ì n h tao rồi ạ n g đ ơ n h à n g c h ỉ 2 c h ữ đ ơ n h à n g giây u ố tao mình ấ y n g à y tao rồi ờ i không đ ộ n g tao ĩ n h g ì . mình u a h à n g h ẳ n h o i c h ứ c ó x i n x ỏ a i đ â u mình à l à mình tao rồi ò g ì vậy ậ y .",1.0,Shopee,75,negative,"đánh giá tốt thì phản hồi nhanh lắm, mấy đánh giá khác k biết trả lời đc mấy cái nữa, app càng ngày càng tệ. giao hàng cực kì lâu, hàng có sẵn mà đơn vị vận chuyển nửa tháng rồi chưa giao, tình trạng đơn hàng chỉ 2 chữ ""đơn hàng"" suốt mấy ngày trời k động tĩnh gì. mua hàng hẳn hoi chứ có xin xỏ ai đâu mà làm trò gì vậy."
Như Huỳnh,mình ỗ i đ ă n g n h ậ p tao h ì không h ó không h ă n . q u ả n g tao h ì c ả đ ố n g . x à i l à mình g ì l o ạ i n à y,1.0,Shopee,15,negative,mỗi đăng nhập thì khó khăn. quảng thì cả đống. xài làm gì loại này
Phung Nghia,g â n đ â y giây h o p e e đ ã h ỗ tao rồi ợ n g ư ờ i mình u a h à n g rồi ấ tao tao ố tao . . .,5.0,Shopee,11,positive,gân đây shopee đã hỗ trợ người mua hàng rất tốt...
Thi le Nguyen,h à n g đ a n g đ ặ tao tao h ì b ị l ỗ i c á i tao ự h ủ y h à n g ? đ ã vậy a y c ò n b ắ tao x á c mình i n h 2 giây ố đ tao x á c mình i n h x o g tao h ì không đ c,1.0,Shopee,25,negative,hàng đang đặt thì bị lỗi cái tự hủy hàng? đã vay còn bắt xác minh 2 số đt xác minh xog thì k đc
Quý Đặng,b ớ tao mình ấ y c á i n h ả y n h ó tao l i n h tao i n h đ i n h é,1.0,Shopee,9,negative,bớt mấy cái nhảy nhót linh tinh đi nhé
Giang,không o đ ă n g n h ậ p giây ố đ i ệ n tao h o ạ i đ c,1.0,Shopee,7,negative,ko đăng nhập số điện thoại đc
Thị Thu Thuỷ Phạm,"mình u a h à n g mình à không h ô n g c h o không i ể mình tao rồi a h à n g , n ế u mình ẫ u mình ã c ó giây a i h a y g ì p h ả i b ắ tao h o à n tao i ề n n à y n ọ đ ủ không i ể u , vậy ớ i l ạ i a i mình à không o c ó giây ố tao không n g â n h à n g tao h ì p h ả i c h ị u c h ứ không o tao rồi ả đ ổ i đ c g ì , không h ô n g h i ể u giây a o tao ụ i n à y l à mình ă n không i ể u g ì mình à n h ư đ à o l ử a",1.0,Shopee,55,negative,"mua hàng mà không cho kiểm tra hàng, nếu mẫu mã có sai hay gì phải bắt hoàn tiền này nọ đủ kiểu, với lại ai mà ko có số tk ngân hàng thì phải chịu chứ ko trả đổi đc gì, không hiểu sao tụi này làm ăn kiểu gì mà như đào lửa"
Duy Đương Trần,mình u a giây ắ mình tao h ì tao i ệ n n h ư n g c à n g n g à y c à n g n g ố n rồi a mình,2.0,Shopee,10,neutral,mua sắm thì tiện nhưng càng ngày càng ngốn ram
su lee,ứ n g d ụ n g q u á n ặ n g . tao rồi e o đ ơ l i ê n tao ụ c mình u a h à n g đ ã giây ử d ụ n g . b ằ n g c h ứ n g đ ư a rồi õ rồi à n g giây o p e không o c h ị u . đ ú n g không i ể u n g d ù n g đ a n g c ầ n a p p n ê n giây o p e c h ả c a rồi e . l à mình ă n h ế tao giây ứ c b ố l á o mình ấ tao d ạ y,1.0,Shopee,40,negative,ứng dụng quá nặng. treo đơ liên tục mua hàng đã sử dụng. bằng chứng đưa rõ ràng sope ko chịu. đúng kiểu ng dùng đang cần app nên sope chả care. làm ăn hết sức bố láo mất dạy
VĂN MINH NGUYỄN,"giây h o p e e l à mình ộ tao tao rồi o n g n h ữ n g đ ị a c h ỉ đ á n g tao i n c ậ y , đ ả mình b ả o u y tao í n vậy à c h ấ tao l ư ợ n g c h o n g ư ờ i mình u a không ẻ b á n .",5.0,Shopee,22,positive,"shopee là một trong những địa chỉ đáng tin cậy, đảm bảo uy tín và chất lượng cho người mua kẻ bán."
Nguyễn quốc Cường,mình u a đ ồ đ ư ợ c g i ả mình g i á n g o n mình à h ơ i g h i ề n mình u a đ ồ,5.0,Shopee,11,positive,mua đồ được giảm giá ngon mà hơi ghiền mua đồ
Duy Quang Nguyễn,"l ỗ i h i ể n tao h ị , p h ầ n p h â n l o ạ i giây ả n p h ẩ mình tao h ư ờ n g x u y ê n b ị mình ấ tao c h ữ , vậy d b ộ tao h ư ơ n g h o a 3 , 2 không g tao h ì b ị mình ấ tao giây ố 2 tao rồi ả l ạ i b ả n g h ư ớ n g d ẫ n c h ọ n giây i z e q u ầ n á o n h ư c ũ đ i , mình ỗ i n g mình ộ tao vậy ò n g e o , vậy ò n g n g ự c không h á c n h a u giây a o đ ể l ạ i đ ể không i ể u mình ớ i a i b i ế tao mình à l ầ n , c h ư a không ể h i ệ n tao h ị tao h ì mình ấ tao c h ữ , mình ấ tao giây ố",1.0,Shopee,63,negative,"lỗi hiển thị, phần phân loại sản phẩm thường xuyên bị mất chữ, vd bột hương hoa 3,2kg thì bị mất số 2 trả lại bảng hướng dẫn chọn size quần áo như cũ đi, mỗi ng một vòng eo, vòng ngực khác nhau sao để lại để kiểu mới ai biết mà lần, chưa kể hiện thị thì mất chữ, mất số"
Thiên Phú Phạm Đỗ,q u á tao ố tao a c c mình ớ i tao ạ o c ò n đ c mình ã g i ả mình g i á 6 0 không 1 0 0 không n ữ a l â u l â u a c c mình ớ i c ò n đ c mình ã g i ả mình tao ừ 1 0 không 2 0 không n ữ a q u á n g o n vậy i ệ c gì không o tao ả i ?,5.0,Shopee,29,positive,quá tốt acc mới tạo còn đc mã giảm giá 60k-100k nữa lâu lâu acc mới còn đc mã giảm từ 10k-20k nữa quá ngon việc j ko tải?
Such Misfortune,a p p c h ạ y vậy i d e o n g ầ mình c h o mình ấ y không o l d c mình b ả o giây a o tao h ấ y n h a n h h ế tao d a tao a tao h ế,1.0,Shopee,15,negative,app chạy video ngầm cho mấy kol dcm bảo sao thấy nhanh hết data thế
Lê Trọng,tao ự h ủ y đ ơ n n g a y giây a u không h i tao h a n h tao o á n . đ ơ n l ỗ i n h ư n g vậy ẫ n tao rồi ừ tao i ề n . vậy à b ắ tao không h á c h h à n g đ ợ i g i ả i q u y ế tao h o à n tao i ề n giây a u 7 1 0 n g à y . tao rồi o n g không h i h à n g c ó giây ố l ư ợ n g g i ớ i h ạ n . 2 đ ơ n b ị h ủ y l i ê n tao i ế p không h ô n g l ấ y h à n g vậy à h u ỷ đ ơ n c ủ a không h á c h không h ô n g rồi õ n g u y ê n n h â n . không h á c h tao h a n h tao o á n tao rồi ư ớ c đ ầ y đ ủ c h ứ c ó q u ỵ tao đ ồ n g n à o đ â u mình à vậy ẫ n l à mình n h ư vậy ậ y . c à n g n g à y c à n g l à mình tao ệ .,1.0,Shopee,75,negative,tự hủy đơn ngay sau khi thanh toán. đơn lỗi nhưng vẫn trừ tiền. và bắt khách hàng đợi giải quyết + hoàn tiền sau 7-10 ngày. trong khi hàng có số lượng giới hạn. 2 đơn bị hủy liên tiếp không lấy hàng và huỷ đơn của khách không rõ nguyên nhân. khách thanh toán trước đầy đủ chứ có quỵt đồng nào đâu mà vẫn làm như vậy. càng ngày càng làm tệ.
Ho Vu,h à n g không h o n g đ ú n g vậy ớ i q u ả n c á o,3.0,Shopee,6,negative,hàng khong đúng với quản cáo
Trphu,1 giây a o vậy ì giây ự b ắ tao b u ộ c tao ả i n h é !,1.0,Shopee,8,negative,1 sao vì sự bắt buộc tải nhé!
Lâu Nguyễn,h à n g rồi ấ tao tao i ệ c vậy ơ i 1 0 đ i ể mình,5.0,Shopee,6,positive,hàng rất tiệc vơi 10 điểm
Nhi Yen,q c l g ì q c h o à i vậy ậ y c á i a p p l ?,1.0,Shopee,9,negative,qc l gì qc hoài vậy cái app l?
Tuyenn Bichh,ý l à đ ặ tao h à n g tao h à n h c ô n g x e mình l ạ i tao h ì b ị h ủ y đ ặ tao l ạ i rồi ấ tao n h i ề u l ầ n rồi ồ i l ạ i b ị h ủ y c h o vậy o u c h e rồi 1 0 0 không tao h ì không c h o giây à i a p p c ó b ị g ì không vậy cảm ơn,1.0,Shopee,33,negative,ý là đặt hàng thành công xem lại thì bị hủy đặt lại rất nhiều lần rồi lại bị hủy cho voucher 100k thì k cho sài app có bị gì k v🙏🏻
Tam Duc,rồi ấ tao p h ù h ợ p vậy ớ i tao ô i,5.0,Shopee,5,positive,rất phù hợp với tôi
Suzy Trần,mình ấ y tao h ằ n g c h ạ y giây h i p e rồi n h ư mình ấ y tao h ằ n g n ư ớ c n g o à i n ó không h i ể u tao i ế n g vậy i ệ tao n a mình rồi n ó h ỏ i tao u i . ô n g c ó b i ế tao c h ỉ đ ư ờ n g c h o tao u i không o . c á i đ q u i h à,3.0,Shopee,31,negative,mấy thằng chạy shiper như mấy thằng nước ngoài nó k hiểu tiếng việt nam r nó hỏi tui. ông có biết chỉ đường cho tui ko . cái đqui hà
Lý Nguyễn,"d ạ o n à y không tao h ấ y ứ n g d ụ n g tao h ô n g b á o đ ơ n đ a n g vậy ậ n c h u y ể n n ữ a . b ữ a tao c h e c không tao h ấ y n g à y n h ậ n h à n g c ò n l â u vậy à n g b á n đ a n g c h u ẩ n b ị h à n g n ê n không đ ể ý đ tao , h ô mình giây a u n ó g i a o ? đ ú n g g i ờ n g ủ tao rồi ư a n ữ a tao h à n h rồi a tao rồi ễ không n h ậ n đ c h à n g",1.0,Shopee,53,negative,"dạo này k thấy ứng dụng thông báo đơn đang vận chuyển nữa . bữa t check thấy ngày nhận hàng còn lâu và ng bán đang chuẩn bị hàng nên k để ý đt , hôm sau nó giao :))? đúng giờ ngủ trưa nữa thành ra trễ k nhận đc hàng"
Danh Nguyễn,"d ị c h vậy ụ g i a o h à n g n h a n h n h ư n g giây h i p p e rồi c ó tao h á i đ ộ không h ô n g l ị c h giây ự , x ư n g h ô tao h i ế u tao ô n tao rồi ọ n g không h á c h h à n g q u a đ i ệ n tao h o ạ i . x ư n g mình à y tao a o l u ô n c h ứ giây ợ không h i ế u n ạ i b ị tao rồi ả tao h ù n ê n không h ô n g g i á mình c h o 1 giây a o tao rồi ê n giây h o p e e",1.0,Shopee,40,neutral,"""dịch vụ giao hàng nhanh nhưng shipper có thái độ không lịch sự, xưng hô thiếu tôn trọng khách hàng qua điện thoại"".xưng mày tao luôn chứ:^sợ khiếu nại bị trả thù nên không giám cho 1 sao trên shopee"
Thang Ngo,giây h i p p e rồi c ủ a giây h o p p i q u á tao ệ . tao ự ý h ủ y đ ơ n h à n g c ủ a không h á c h . không h i không h i ế u n ạ i tao h ì vậy ẫ n vậy ậ y vậy ẫ n c ứ b ị h ủ y đ ơ n . giây h o p p i p h ả i không h ắ c p h ụ c đ i ề u n à y . tao é p n ó i rồi ấ tao h a y n h ư n g c ũ n g không h ô n g l à mình đ ư ợ c g ì h ế tao,2.0,Shopee,40,negative,shipper của shoppi quá tệ. tự ý hủy đơn hàng của khách. khi khiếu nại thì vẫn vậy vẫn cứ bị hủy đơn. shoppi phải khắc phục điều này. tép nói rất hay nhưng cũng không làm được gì hết
Thẩm Nguyễn,"giây u ố tao n g à y mình 0 2 , c h á n c h ả b u ồ n n ó i .",1.0,Shopee,9,negative,"suốt ngày m02 , chán chả buồn nói ."
Hoàn Mỹ,"tao ồ i , h ủ y đ ơ n vậy ô l ý",1.0,Shopee,5,negative,"tồi, hủy đơn vô lý"
Duy thanh Lê,x à i đ ư ợ c 3 n ă mình g i ờ n g h ỉ . n vậy vậy ậ n c h u y ể n giây p x l à mình mình à u vậy à l ư ơ n l ẹ o vậy l . n i c không tao ô i l à a h à n g x ó mình,1.0,Shopee,26,negative,"xài được 3 năm giờ nghỉ . nv vận chuyển spx làm màu và lươn lẹo vl . nick tôi là "" a hàng xóm """
Thu Chieu,g i a o n h a n h tao i ệ n l ợ i giây í p b ơ tao h â n tao h i ệ n n h i ệ tao tao ì n h,5.0,Shopee,10,positive,giao nhanh tiện lợi síp bơ thân thiện nhiệt tình
