user,review,rating,app,word_count,label,review_original
Huong Vi,"tự hủy đơn của khách xong hỏi thì kêu tại khách bất chính , tại cửa hàng không uy tín , tại cửa hàng không đưa hàng trong khi tôi đặt ở nhà xuất bản kim đồng mấy quyển truyện là không an toàn dữ rồi đó hả? 1 sao không nói nhiều các cửa hàng đều thân thiện còn ứng dụng thì lỗi tè le",1.0,Shopee,62,negative,"tự hủy đơn của khách xong hỏi thì kêu tại khách bất chính , tại shop không uy tín , tại shop không đưa hàng trong khi tôi đặt ở ""nhà xuất bản kim đồng"" mấy quyển truyện là không an toàn dữ rồi đó hả???????? 1 sao không nói nhiều các shop đều thân thiện còn app thì lỗi tè le"
Long Thanh,"lúc nhận phí giảm giá trên shoppi cho người mới được giảm 60 không cho đơn đầu tiên á , lúc đặt thì được nm khi tôi xóa ứng dụng rồi tải lại nó lại nói là giao dịch đáng nghi xong hủy đơn hàng tôi đặt luôn , ý là đây là lần đầu tôi bị như vậy thôi",3.0,Shopee,60,negative,"lúc nhận phí giảm giá trên shoppi cho ng mới đc giảm 60 k cho đơn đầu tiên á , lúc đặt thì đc nm khi tôi xóa ứng dụng rồi tải lại nó lại nói là giao dịch đáng nghi xong hủy đơn hàng tôi đặt luôn , ý là đây là lần đầu tôi bị như v thôi"
Giang Minh Thang,"mua khách hàng ưu tiên hàng tháng nhưng tự nhiên một ngày đặt đơn thì bị hủy liên tục, tất cả đơn đang giao đến gần nhà cũng bị hủy tự hoàn về người bán. liên hệ chăm sóc khách hàng thì bảo do người bán hoặc người mua có thể vi pham chính sách. hỏi vi phạm chính sqchs gì thì bảo khách hàng tự đọc lại chính sách, không biết. nhiều ngày liên hệ vẫn không trả lời được nguyên nhân tại sao. chắc là vì mua gói ưu tiên nên bị như thế. cách xử lý cực kỳ tệ",1.0,Shopee,98,negative,"mua kh ưu tiên hàng tháng nhưng tự nhiên một ngày đặt đơn thì bị hủy liên tục, tất cả đơn đang giao đến gần nhà cũng bị hủy tự hoàn về người bán. liên hệ cskh thì bảo do người bán hoặc người mua có thể vi pham chính sách. hỏi vi phạm chính sqchs gì thì bảo khách hàng tự đọc lại chính sách, không biết. nhiều ngày liên hệ vẫn không trả lời được nguyên nhân tại sao. chắc là vì mua gói ưu tiên nên bị như thế. cách xử lý cực kỳ tệ"
Tiến Phạm,xác minh danh tính thì xác minh mãi không được mà cứ bắt xác minh hoài riết không đặt được một đơn,1.0,Shopee,22,negative,xác minh danh tính thì xác minh mãi ko đc mà cứ bắt xác minh hoài riết ko đặt đc một đơn
Thùy Dương Nguyễn,mở trò chơi xáo hình chi mà không cho thắng vậy mấy ba?,1.0,Shopee,13,negative,mở trò chơi xáo hình chi mà ko cho thắng vậy mấy ba??
quang ho,chưa kiệp nhận hàng đã tự ý hoàn trả làm tôi rớt môn thi lại,1.0,Shopee,15,negative,chưa kiệp nhận hàng đã tự ý hoàn trả làm tôi rớt môn thi lại
sung lee,"ứng dụng mua hàng shopee ổn ! cần kiếm soát chất lượng nguồn hàng, hoàn tiền khi trả hàng thủ tục đơn giản.",4.0,Shopee,23,neutral,"ứng dụng mua hàng shopee ok ! cần kiếm soát chất lượng nguồn hàng, hoàn tiền khi trả hàng thủ tục đơn giản."
Thùy Dung,"thật tuyệt khi mua những sản phẩm cồng kềnh, khó vận chuyển ở shoppe. rất nhanh, rất chuyên nghiệp.",5.0,Shopee,19,positive,"thật tuyệt khi mua những sản phẩm cồng kềnh, khó vận chuyển ở shoppe. rất nhanh, rất chuyên nghiệp."
Lộc Tống,bị hoàn đơn liên tục nà không nhận được bồi thường gì mấy nửa tháng chờ,1.0,Shopee,16,negative,bị hoàn đơn liên tục nà k nhận đc bồi thường gì mấy nửa tháng chờ
Thiện Giác,ứng dụng mua bán y tín,5.0,Shopee,5,positive,app mua bán y tín
Thiện Phan,"cho có cái mã mà không cho đặt , đặt tự động huy tệ",1.0,Shopee,14,negative,"cho có cái mã mà không cho đặt , đặt tự động huy tệ"
Son Van,rất tốt mua hàng giao đúng như mô tả giao hàng nhanh,5.0,Shopee,12,positive,rất tốt mua hàng giao đúng như mô tả giao hàng nhanh
Như quỳnh Đinh,sao đúng tài khoản mà không vô được gì ? còn tự nhiên bị trùng số đth nua thất vọng tức giận,1.0,Shopee,20,negative,sao đúng tài khoản mà ko vô đc j ?? còn tự nhiên bị trùng số đth nua má :(
Huan Nguyễn thi,đồ rất ổn chấm hoàn hảo,5.0,Shopee,5,positive,đồ rất ok chấm 💯
Anh IUB,"từ sau tết giao hàng cực cực chậm mặc dù ở nội thành, đơn đến trạm giao thì cứ om ở đấy 1, 2 ngày mới giao",1.0,Shopee,27,negative,"từ sau tết giao hàng cực cực chậm mặc dù ở nội thành, đơn đến trạm giao thì cứ om ở đấy 1, 2 ngày mới giao"
Nguyễn Thùy Trang,nhân viên thái độ thấy không thích,1.0,Shopee,6,negative,nhân viên thái độ thấy ghét
Ngọc Trinh Dương,"ổn, nơi đáng tin cậy.",5.0,Shopee,5,positive,"ok, nơi đáng tin cậy."
Hoa Lương Thị Mỹ,"trải nghiệm rất tệ mình là học sinh nên mình đặt sách trên shoppee, giao thì lâu mà lúc giao thì xui cái mình đang kiểm tra trên trường nên buộc phải tắt, vậy mà người giao hàng hủy đơn của mình luôn ạ, mà bạn đó mới gọi mình có một lần thôi á, chấp nhận là lỗi của mình một phần nhưng hàng người khác quan trọng hàng mình không quan trọng hả? chẳng hạn như tiktok cửa hàng, không nhận một lần thì ngta còn giao lại cho ngày mai, hoặc nhắn cho mình mà bên shoppee không hề luôn.",1.0,Shopee,100,negative,"trải nghiệm rất tệ mình là học sinh nên mình đặt sách trên shoppee, giao thì lâu mà lúc giao thì xui cái mình đang kiểm tra trên trường nên buộc phải tắt, vậy mà shipper hủy đơn của mình luôn ạ, mà bạn đó mới gọi mình có một lần thôi á, chấp nhận là lỗi của mình một phần nhưng hàng người khác quan trọng hàng mình không quan trọng hả??? chẳng hạn như tiktok shop, không nhận một lần thì ngta còn giao lại cho ngày mai, hoặc nhắn cho mình mà bên shoppee không hề luôn."
Su Tran van,"không có 1 cuộc gọi nào mà đã tự động hủy đơn hàng,chán",1.0,Shopee,13,negative,"không có 1 cuộc gọi nào mà đã tự động hủy đơn hàng,chán"
An Do,"đa dạng và đầy đủ mặt hàng, mua sắm trên shoppe với giá rẻ hơn với voucher",5.0,Shopee,17,positive,"đa dạng và đầy đủ mặt hàng, mua sắm trên shoppe với giá rẻ hơn với voucher"
Thị Chuyên Đinh,mua hàng sope uy tín nhanh đổi trả dễ dàng nhanh gọn . mình luôn ủng hộ sope,5.0,Shopee,18,positive,mua hàng sope uy tín nhanh đổi trả dễ dàng nhanh gọn . mình luôn ủng hộ sope
thanh nguyen,"shopee lúc gần đây quá lạm dụng ai để tạo video giới thiệu sản phẩm, nhưng các clip này phần lớn tạo ra những sản phẩm dị dạng, hoàn toàn khác biệt thực tế, và ứng dụng cứ tự động bật các video khi vào xem sản phẩm làm người mua rất khó chịu",2.0,Shopee,53,negative,"shopee lúc gần đây quá lạm dụng ai để tạo video giới thiệu sản phẩm, nhưng các clip này phần lớn tạo ra những sản phẩm dị dạng, hoàn toàn khác biệt thực tế, và app cứ tự động bật các video khi vào xem sản phẩm làm người mua rất khó chịu"
Anh Tran,"giao hàng muộn, rách, ném hàng vào nhà như ném bom, lúc cần thì gọi mòn mỏi, gọi cả tổng đài giao hàng nhưng vẫn không nhận được hàng, lúc không cần nữa quá hạn tgian, kcan dùng nữa thì ném vào như thật. chịu luôn, đang định xóa ứng dụng vì đã không giải quyết được việc còn tạo việc cho người sử dụng.",1.0,Shopee,64,negative,"giao hàng muộn, rách, ném hàng vào nhà như ném bom, lúc cần thì gọi mòn mỏi, gọi cả tổng đài giao hàng nhưng vẫn k nhận được hàng, lúc k cần nữa (quá hạn tgian, kcan dùng nữa) thì ném vào như thật. chịu luôn, đang định xóa app vì đã k giải quyết được việc còn tạo việc cho người sử dụng."
My Nguyễn,"đánh giá tốt thì phản hồi nhanh lắm, mấy đánh giá khác không biết trả lời được mấy cái nữa, ứng dụng càng ngày càng tệ. giao hàng cực kì lâu, hàng có sẵn mà đơn vị vận chuyển nửa tháng rồi chưa giao, tình trạng đơn hàng chỉ 2 chữ đơn hàng suốt mấy ngày trời không động tĩnh gì. mua hàng hẳn hoi chứ có xin xỏ ai đâu mà làm trò gì vậy.",1.0,Shopee,75,negative,"đánh giá tốt thì phản hồi nhanh lắm, mấy đánh giá khác k biết trả lời đc mấy cái nữa, app càng ngày càng tệ. giao hàng cực kì lâu, hàng có sẵn mà đơn vị vận chuyển nửa tháng rồi chưa giao, tình trạng đơn hàng chỉ 2 chữ ""đơn hàng"" suốt mấy ngày trời k động tĩnh gì. mua hàng hẳn hoi chứ có xin xỏ ai đâu mà làm trò gì vậy."
Như Huỳnh,mỗi đăng nhập thì khó khăn. quảng thì cả đống. xài làm gì loại này,1.0,Shopee,15,negative,mỗi đăng nhập thì khó khăn. quảng thì cả đống. xài làm gì loại này
Phung Nghia,gân đây shopee đã hỗ trợ người mua hàng rất tốt...,5.0,Shopee,11,positive,gân đây shopee đã hỗ trợ người mua hàng rất tốt...
Thi le Nguyen,hàng đang đặt thì bị lỗi cái tự hủy hàng? đã vay còn bắt xác minh 2 số điện thoại xác minh xong thì không được,1.0,Shopee,25,negative,hàng đang đặt thì bị lỗi cái tự hủy hàng? đã vay còn bắt xác minh 2 số đt xác minh xog thì k đc
Quý Đặng,bớt mấy cái nhảy nhót linh tinh đi nhé,1.0,Shopee,9,negative,bớt mấy cái nhảy nhót linh tinh đi nhé
Giang,không đăng nhập số điện thoại được,1.0,Shopee,7,negative,ko đăng nhập số điện thoại đc
Thị Thu Thuỷ Phạm,"mua hàng mà không cho kiểm tra hàng, nếu mẫu mã có sai hay gì phải bắt hoàn tiền này nọ đủ kiểu, với lại ai mà không có số tài khoản ngân hàng thì phải chịu chứ không trả đổi được gì, không hiểu sao tụi này làm ăn kiểu gì mà như đào lửa",1.0,Shopee,55,negative,"mua hàng mà không cho kiểm tra hàng, nếu mẫu mã có sai hay gì phải bắt hoàn tiền này nọ đủ kiểu, với lại ai mà ko có số tk ngân hàng thì phải chịu chứ ko trả đổi đc gì, không hiểu sao tụi này làm ăn kiểu gì mà như đào lửa"
Duy Đương Trần,mua sắm thì tiện nhưng càng ngày càng ngốn ram,2.0,Shopee,10,neutral,mua sắm thì tiện nhưng càng ngày càng ngốn ram
su lee,ứng dụng quá nặng. treo đơ liên tục mua hàng đã sử dụng. bằng chứng đưa rõ ràng sope không chịu. đúng kiểu người dùng đang cần ứng dụng nên sope chả care. làm ăn hết sức bố láo mất dạy,1.0,Shopee,40,negative,ứng dụng quá nặng. treo đơ liên tục mua hàng đã sử dụng. bằng chứng đưa rõ ràng sope ko chịu. đúng kiểu ng dùng đang cần app nên sope chả care. làm ăn hết sức bố láo mất dạy
VĂN MINH NGUYỄN,"shopee là một trong những địa chỉ đáng tin cậy, đảm bảo uy tín và chất lượng cho người mua kẻ bán.",5.0,Shopee,22,positive,"shopee là một trong những địa chỉ đáng tin cậy, đảm bảo uy tín và chất lượng cho người mua kẻ bán."
Nguyễn quốc Cường,mua đồ được giảm giá ngon mà hơi ghiền mua đồ,5.0,Shopee,11,positive,mua đồ được giảm giá ngon mà hơi ghiền mua đồ
Duy Quang Nguyễn,"lỗi hiển thị, phần phân loại sản phẩm thường xuyên bị mất chữ, ví dụ bột hương hoa 3,2kg thì bị mất số 2 trả lại bảng hướng dẫn chọn kích cỡ quần áo như cũ đi, mỗi người một vòng eo, vòng ngực khác nhau sao để lại để kiểu mới ai biết mà lần, chưa kể hiện thị thì mất chữ, mất số",1.0,Shopee,63,negative,"lỗi hiển thị, phần phân loại sản phẩm thường xuyên bị mất chữ, vd bột hương hoa 3,2kg thì bị mất số 2 trả lại bảng hướng dẫn chọn size quần áo như cũ đi, mỗi ng một vòng eo, vòng ngực khác nhau sao để lại để kiểu mới ai biết mà lần, chưa kể hiện thị thì mất chữ, mất số"
Thiên Phú Phạm Đỗ,quá tốt tài khoản mới tạo còn được mã giảm giá 60k 100k nữa lâu lâu tài khoản mới còn được mã giảm từ 10k 20k nữa quá ngon việc gì không tải?,5.0,Shopee,29,positive,quá tốt acc mới tạo còn đc mã giảm giá 60k-100k nữa lâu lâu acc mới còn đc mã giảm từ 10k-20k nữa quá ngon việc j ko tải?
Such Misfortune,ứng dụng chạy video ngầm cho mấy kol dcm bảo sao thấy nhanh hết data thế,1.0,Shopee,15,negative,app chạy video ngầm cho mấy kol dcm bảo sao thấy nhanh hết data thế
Lê Trọng,tự hủy đơn ngay sau khi thanh toán. đơn lỗi nhưng vẫn trừ tiền. và bắt khách hàng đợi giải quyết hoàn tiền sau 7 10 ngày. trong khi hàng có số lượng giới hạn. 2 đơn bị hủy liên tiếp không lấy hàng và huỷ đơn của khách không rõ nguyên nhân. khách thanh toán trước đầy đủ chứ có quỵt đồng nào đâu mà vẫn làm như vậy. càng ngày càng làm tệ.,1.0,Shopee,75,negative,tự hủy đơn ngay sau khi thanh toán. đơn lỗi nhưng vẫn trừ tiền. và bắt khách hàng đợi giải quyết + hoàn tiền sau 7-10 ngày. trong khi hàng có số lượng giới hạn. 2 đơn bị hủy liên tiếp không lấy hàng và huỷ đơn của khách không rõ nguyên nhân. khách thanh toán trước đầy đủ chứ có quỵt đồng nào đâu mà vẫn làm như vậy. càng ngày càng làm tệ.
Ho Vu,hàng khong đúng với quản cáo,3.0,Shopee,6,negative,hàng khong đúng với quản cáo
Trphu,1 sao vì sự bắt buộc tải nhé!,1.0,Shopee,8,negative,1 sao vì sự bắt buộc tải nhé!
Lâu Nguyễn,hàng rất tiệc vơi 10 điểm,5.0,Shopee,6,positive,hàng rất tiệc vơi 10 điểm
Nhi Yen,quảng cáo l gì quảng cáo hoài vậy cái ứng dụng l?,1.0,Shopee,9,negative,qc l gì qc hoài vậy cái app l?
Tuyenn Bichh,ý là đặt hàng thành công xem lại thì bị hủy đặt lại rất nhiều lần rồi lại bị hủy cho voucher 100k thì không cho sài ứng dụng có bị gì không vậy cảm ơn,1.0,Shopee,33,negative,ý là đặt hàng thành công xem lại thì bị hủy đặt lại rất nhiều lần rồi lại bị hủy cho voucher 100k thì k cho sài app có bị gì k v🙏🏻
Tam Duc,rất phù hợp với tôi,5.0,Shopee,5,positive,rất phù hợp với tôi
Suzy Trần,mấy thằng chạy shiper như mấy thằng nước ngoài nó không hiểu tiếng việt nam rồi nó hỏi tui. ông có biết chỉ đường cho tui không . cái đqui hà,3.0,Shopee,31,negative,mấy thằng chạy shiper như mấy thằng nước ngoài nó k hiểu tiếng việt nam r nó hỏi tui. ông có biết chỉ đường cho tui ko . cái đqui hà
Lý Nguyễn,"dạo này không thấy ứng dụng thông báo đơn đang vận chuyển nữa . bữa tao check thấy ngày nhận hàng còn lâu và người bán đang chuẩn bị hàng nên không để ý điện thoại , hôm sau nó giao ? đúng giờ ngủ trưa nữa thành ra trễ không nhận được hàng",1.0,Shopee,53,negative,"dạo này k thấy ứng dụng thông báo đơn đang vận chuyển nữa . bữa t check thấy ngày nhận hàng còn lâu và ng bán đang chuẩn bị hàng nên k để ý đt , hôm sau nó giao :))? đúng giờ ngủ trưa nữa thành ra trễ k nhận đc hàng"
Danh Nguyễn,"dịch vụ giao hàng nhanh nhưng người giao hàng có thái độ không lịch sự, xưng hô thiếu tôn trọng khách hàng hôm qua điện thoại .xưng mày tao luôn chứ sợ khiếu nại bị trả thù nên không giám cho 1 sao trên shopee",1.0,Shopee,40,neutral,"""dịch vụ giao hàng nhanh nhưng shipper có thái độ không lịch sự, xưng hô thiếu tôn trọng khách hàng qua điện thoại"".xưng mày tao luôn chứ:^sợ khiếu nại bị trả thù nên không giám cho 1 sao trên shopee"
Thang Ngo,người giao hàng của shoppi quá tệ. tự ý hủy đơn hàng của khách. khi khiếu nại thì vẫn vậy vẫn cứ bị hủy đơn. shoppi phải khắc phục điều này. tép nói rất hay nhưng cũng không làm được gì hết,2.0,Shopee,40,negative,shipper của shoppi quá tệ. tự ý hủy đơn hàng của khách. khi khiếu nại thì vẫn vậy vẫn cứ bị hủy đơn. shoppi phải khắc phục điều này. tép nói rất hay nhưng cũng không làm được gì hết
Thẩm Nguyễn,"suốt ngày m02 , thất vọng chả buồn nói .",1.0,Shopee,9,negative,"suốt ngày m02 , chán chả buồn nói ."
Hoàn Mỹ,"tồi, hủy đơn vô lý",1.0,Shopee,5,negative,"tồi, hủy đơn vô lý"
Duy thanh Lê,xài được 3 năm giờ nghỉ . nhân viên vận chuyển spx làm màu và lươn lẹo rất . nick tôi là a hàng xóm,1.0,Shopee,26,negative,"xài được 3 năm giờ nghỉ . nv vận chuyển spx làm màu và lươn lẹo vl . nick tôi là "" a hàng xóm """
Thu Chieu,giao nhanh tiện lợi síp bơ thân thiện nhiệt tình,5.0,Shopee,10,positive,giao nhanh tiện lợi síp bơ thân thiện nhiệt tình
6 Hiennam,"bất cứ cái gì dính đến tầu là đều đểu giả cả. sau zalo bây giờ đến lượt shopee. giao hàng như rùa bò. nội thành hn mất 4 5 ngày. không cập nhật trạng thái đơn, liên tục thay đổi thời hạn giao hàng. một số cửa hàng bán hàng giả chẳng thấy kiểm soát gì. không biết mấy bác mua phải điện thoại giả đã đòi được xèng chưa? hãy tẩy chay và dùng lazada.",1.0,Shopee,76,negative,"bất cứ cái gì dính đến tầu là đều đểu giả cả. sau zalo bây giờ đến lượt shopee. giao hàng như rùa bò. nội thành hn mất 4 - 5 ngày. không cập nhật trạng thái đơn, liên tục thay đổi thời hạn giao hàng. một số shop bán hàng giả chẳng thấy kiểm soát gì. không biết mấy bác mua phải đt giả đã đòi được xèng chưa? hãy tẩy chay và dùng lazada."
Trúc Mai Huỳnh Thị,"cứ quảng cáo trên màn hình điện thoại hoài không thoát ra được khi có việc quan trọng như làm bài kiểm tra qui định thời gian không thể truy cập vào bài làm ngay được khóc luôn , nếu còn quảng cáo sẻ gỡ cài đặt",1.0,Shopee,47,negative,"cứ quảng cáo trên màn hình điện thoại hoài không thoát ra được khi có việc quan trọng như làm bài kiểm tra qui định thời gian không thể truy cập vào bài làm ngay được khóc luôn , nếu còn quảng cáo sẻ gỡ cài đặt"
Ga Yeong,đi tới đâu cũng gặp quảng cáo ấn nhầm cái là đi thẳng tới ứng dụng bực bội,1.0,Shopee,18,negative,đi tới đâu cũng gặp quảng cáo ấn nhầm cái là đi thẳng tới ứng dụng bực bội
Sếp Tú,mọi thứ thì khá ổn nhưng lúc giao hàng báo rất láo. lúc nào cũng báo giao trong 12 giờ tiếp theo mà toàn phải đợi mấy ngày nữa hàng mới được giao. đền bù giao hàng không đúng hạn được cái voucher rồi vứt đó có làm được cái gì đâu.,1.0,Shopee,52,neutral,mọi thứ thì khá ok nhưng lúc giao hàng báo rất láo. lúc nào cũng báo giao trong 12 giờ tiếp theo mà toàn phải đợi mấy ngày nữa hàng mới được giao. đền bù giao hàng không đúng hạn được cái voucher rồi vứt đó có làm được cái gì đâu.
Trung Hậu Lê,quảng cáo hơi bị ức chế,1.0,Shopee,6,negative,quảng cáo hơi bị ức chế
Quyết Đầm Thị,tạm mong được miễn phí giao hàng nhiều hơn nữa !,4.0,Shopee,11,neutral,tạm mong được miễn phí giao hàng nhiều hơn nữa !
Vũ Nhật Hạ Nguyễn,"từ tết đến giờ giao hàng rất chậm luôn, phản hồi khách hàng siêu thất vọng nên xem xét lại",2.0,Shopee,19,negative,"từ tết đến giờ giao hàng rất chậm luôn, phản hồi khách hàng siêu chán nên xem xét lại"
tran tien,"càng ngày phí tăng, cùng một sản phẩm càng lên giá, đặc biệt shoppe vip , rồi là chuyện giao xử lí phân loại ở bắc ninh quá chậm luôn ấy, giao hàng chậm hơn tiktok, mà giá lại cao, tháng này mua nhiều bên tiktok lên mới để ý , sàn cam thất vọng, tệ",1.0,Shopee,55,negative,"càng ngày phí tăng, cùng một sản phẩm càng lên giá, đặc biệt shoppe vip , rồi là chuyện giao xử lí phân loại ở bắc ninh quá chậm luôn ấy, giao hàng chậm hơn tiktok, mà giá lại cao, tháng này mua nhiều bên tiktok lên mới để ý , sàn cam chán, tệ"
Lien Pham,"giao hàng quá tệ, cùng 1 địa chỉ công ty mà đồng nghiệp của tao nhận được hàng còn đơn của tao ngâm ở kho không rõ lý do, cứ chuẩn bị giao hàng xong lại quay về kho, mấy lần liền như thế. bị mấy đơn như vậy chứ không phải 1. lên chăm sóc khách hàng thì toàn cho nói chuyện với ai, chả giải quyết được cái gì.",1.0,Shopee,68,negative,"giao hàng quá tệ, cùng 1 địa chỉ công ty mà đồng nghiệp của t nhận đc hàng còn đơn của t ngâm ở kho k rõ lý do, cứ chuẩn bị giao hàng xong lại quay về kho, mấy lần liền như thế. bị mấy đơn như vậy chứ k phải 1. lên cskh thì toàn cho nói chuyện vs ai, chả giải quyết được cái gì."
Le Nguyễn,bắt nhập 2 số điện thoại nhập xong thì không được còn lỗi tùm lum,1.0,Shopee,14,negative,bắt nhập 2 số đt nhập xong thì k đc còn lỗi tùm lum
Tùng Thanh,"cứ vô là bắt xát thực tài khoản, xát thực cả chục lần vẫn không đúng,mất thời gian,khó chịu vô cùng.mong shoppe xem xét lại.",1.0,Shopee,25,negative,"cứ vô là bắt xát thực tài khoản, xát thực cả chục lần vẫn không đúng,mất thời gian,khó chịu vô cùng.mong shoppe xem xét lại."
Ghệ Đẹp DanKe,"có mã không áp được,xác minh đủ thứ xong tự hủy đơn luôn",1.0,Shopee,13,negative,"có mã không áp được,xác minh đủ thứ xong tự hủy đơn luôn"
Lynh Cute,không cho lấy mã vouchers ls tr,1.0,Shopee,7,negative,ko cho lấy mã vouchers ls tr
Huyền Ngọc,không tốt tí nào giao hàng thì chậm chưa giao mà giao hàng báo không gọi được yêu cầu gặp nhân viên hỗ trợ không cho găp.,1.0,Shopee,26,negative,ko tốt tí nào giao hàng thì chậm chx giao mà ship báo ko gọi đc yêu cầu gặp nhân viên hỗ trợ ko cho găp.
Kaoruko Waguri,"quảng cáo rác, rất nhiều, đi đâu cũng thấy, phiền, không có chỗ nào để tôi quan tâm ngoài việc phiền",1.0,Shopee,21,negative,"quảng cáo rác, rất nhiều, đi đâu cũng thấy, phiền, không có chỗ nào để tôi quan tâm ngoài việc phiền"
Trần Minh,rất tệ hiểu luôn đứng im 5 ngày trời,1.0,Shopee,8,negative,dell hiểu luôn đứng im 5 ngày trời
son nguyen,trải nghiệm rất tuyệt vời tốt,5.0,Shopee,6,positive,trải nghiệm rất tuyệt vời 👍
Minh Trương Ngọc,ứng dụng gì cứ bắt xác nhận liên tục,1.0,Shopee,8,negative,app gì cứ bắt xác nhận liên tục
Trinh Mỹ,"thất vọng tức giận tao không thích mua sắm online, tự động tải vài",1.0,Shopee,11,negative,"dm t ko thích mua sắm online, tự động tải vài"
Van Quynh,giao hàng chậm vậy đặt từ tết mà đến giờ vẫn chưa nhận được hàng,1.0,Shopee,15,negative,giao hàng chậm v đặt từ tết mà đến giờ vẫn chưa nhận đc hàng
Lê Phương Nguyên,xem live bị văng ra mà vẫn chưa sửa chắc tính năng à?,2.0,Shopee,13,negative,xem live bị văng ra mà vẫn chưa sửa chắc tính năng à?
ミミ,như cdb đi l đâu cũng quảng cáo,1.0,Shopee,8,negative,như cdb đi l đâu cũng quảng cáo
Nhàn Nguyễn,nó rất vui nhưng tôi sẽ tải lại,4.0,Shopee,8,neutral,nó rất vui nhưng tôi sẽ tải lại
Anh Tuấn Nguyễn,10 điểm không có nhưng,5.0,Shopee,5,positive,10 điểm ko có nhưng
Vĩnh Khang,đặt hàng không được mà cứ quảng cáo,1.0,Shopee,8,negative,đặt hàng ko đc mà cứ quảng cáo
Duy Trường,ứng dụng tệ mỗi lần hủy đơn hàng bắt buộc thêm tài khoản ngâm hàng à rất tức giận,1.0,Shopee,15,negative,app tệ mỗi lần hủy đơn hàng bắt buộc thêm tk ngâm hàng à 🤬
Nguyen Nguyen,trả hàng hoàn tiền hẹn tới hẹn lui không ai lấy. rất xem thường khách hàng,1.0,Shopee,16,negative,trả hàng hoàn tiền hẹn tới hẹn lui k ai lấy. rất xem thường khách hàng
Tài Duơng,rất tốt không có gì để nói!,5.0,Shopee,7,positive,rất tốt k có j để nói!
Huyền Khánh,"trò chơi trong game xếp gạch cố tình không cho người chơi được thắng , khiến người chơi suy sụp tinh thần",1.0,Shopee,22,negative,"trò chơi trong game xếp gạch cố tình không cho người chơi được thắng , khiến người chơi suy sụp tinh thần"
Văn Hiền Nguyễn,"shopper giờ gặp mấy người mới giao,người mới giờ không muốn giao đơn đặt hàng cho khác, đặc cả nữa tháng không thấy giao,shoppee nên xem xét lại, ngày đó ai giao hiện số điện thoại để khác biết còn liên lạc nhận hàng, chứ mấy a giao hàng bây giờ muốn giao hay không là quyền của mấy a rồi.",3.0,Shopee,59,negative,"shopper giờ gặp mấy người mới giao,người mới giờ không muốn giao đơn đặt hàng cho khác, đặc cả nữa tháng không thấy giao,shoppee nên xem xét lại, ngày đó ai giao hiện sdt để khác biết còn liên lạc nhận hàng, chứ mấy a giao hàng bây giờ muốn giao hay không là quyền của mấy a rồi."
